영업자시작일,업종명,업태명,업소명,소재지(도로명),소재지(지번)
2004-10-11,일반음식점,한식,매콤촌,"서울특별시 동대문구 무학로 123, 1층 (용두동)",서울특별시 동대문구 용두동 235-2 1층 
1993-06-09,일반음식점,한식,혜성,서울특별시 동대문구 왕산로 247-1 (청량리동),서울특별시 동대문구 청량리동 50-18 
2015-03-19,일반음식점,중국식,경발원,"서울특별시 동대문구 망우로21길 34 (휘경동,(휘경일길 22))",서울특별시 동대문구 휘경동 261-1 (휘경일길 22) 
1981-09-07,일반음식점,한식,대성집,"서울특별시 동대문구 무학로43길 44 (용두동,(용머리길 57))",서울특별시 동대문구 용두동 754-9 (용머리길 57) 
2019-07-10,일반음식점,한식,일미기사식당,서울특별시 동대문구 회기로 105 (회기동),서울특별시 동대문구 회기동 60-267 
2019-02-11,일반음식점,한식,허브영양족발,"서울특별시 동대문구 천호대로 70, 지하1층 (용두동)",서울특별시 동대문구 용두동 127-18 
2009-09-23,일반음식점,호프/통닭,을목호프,서울특별시 동대문구 전농로 130 (전농동),서울특별시 동대문구 전농동 295-30 
2016-10-17,일반음식점,분식,메가커피,"서울특별시 동대문구 왕산로 3, 1층 (신설동)",서울특별시 동대문구 신설동 84-5 1층 
2020-05-26,일반음식점,한식,홍능족발,"서울특별시 동대문구 홍릉로 20, 1층 (청량리동)",서울특별시 동대문구 청량리동 311 
2015-09-23,일반음식점,한식,별미 명태랑 낙지랑,"서울특별시 동대문구 하정로5길 1, 1층 (신설동)",서울특별시 동대문구 신설동 98-8 1층 
2016-12-30,일반음식점,한식,홍능갈비본점,"서울특별시 동대문구 제기로 85, 1,2/1,2,3층 (청량리동)","서울특별시 동대문구 청량리동 520-14 520-15,16,17,19,20,24,25 "
2002-07-10,일반음식점,한식,태능식당,"서울특별시 동대문구 망우로 131 (휘경동,(망우로 241))",서울특별시 동대문구 휘경동 112-49 (망우로 241) 
2014-10-24,일반음식점,중국식,홍콩반점(경희대점),서울특별시 동대문구 경희대로 12-1 (회기동),서울특별시 동대문구 회기동 16-46 
1993-01-20,일반음식점,한식,24시해장국,서울특별시 동대문구 휘경로 12 (이문동),서울특별시 동대문구 이문동 305-59 
2019-10-16,일반음식점,탕류(보신용),한우리한방민물장어생삼겹,"서울특별시 동대문구 홍릉로5길 6, 1층 (청량리동)",서울특별시 동대문구 청량리동 703 1층 
2009-06-18,일반음식점,한식,승호원,"서울특별시 동대문구 왕산로41길 13 (청량리동,(망우로 7-1))",서울특별시 동대문구 청량리동 255-1 (망우로 7-1) 
2008-06-24,일반음식점,한식,목화집,"서울특별시 동대문구 전농로15길 22 (전농동,(전농로147))",서울특별시 동대문구 전농동 295-48 (전농로147) 
1993-08-18,일반음식점,한식,지영식당,서울특별시 동대문구 전농로15길 7 (전농동),서울특별시 동대문구 전농동 295-52 
2018-12-05,일반음식점,호프/통닭,오복치킨,서울특별시 동대문구 홍릉로 14-2 (청량리동),서울특별시 동대문구 청량리동 298-0 
1980-06-17,일반음식점,한식,미미식당,,서울특별시 동대문구 용두동 90-2 (용두일길71) 
2016-06-30,일반음식점,일식,완도회집,서울특별시 동대문구 고산자로 503-2 (제기동),서울특별시 동대문구 제기동 719-2 
2013-02-22,일반음식점,한식,송정,"서울특별시 동대문구 서울시립대로 129, 1층 (전농동)",서울특별시 동대문구 전농동 129-20 1층 
1998-12-19,일반음식점,한식,홍파식당,,서울특별시 동대문구 제기동 634-0 
2014-02-17,일반음식점,냉면집,육쌈냉면,서울특별시 동대문구 홍릉로 8-1 (청량리동),서울특별시 동대문구 청량리동 283 
2013-06-05,일반음식점,한식,뚱보돼지갈비불고기,"서울특별시 동대문구 천호대로 8, 1층 (신설동)",서울특별시 동대문구 신설동 103-1 1층 
2006-08-29,일반음식점,한식,저잣거리,"서울특별시 동대문구 천호대로 14 (신설동,(하정로 16))",서울특별시 동대문구 신설동 103-6 (하정로 16) 
1989-01-05,일반음식점,한식,오복식당,"서울특별시 동대문구 황물로 65-14, 1층 (답십리동)",서울특별시 동대문구 답십리동 469-2 
2018-07-13,일반음식점,분식,나두밥,서울특별시 동대문구 황물로 42 (답십리동),서울특별시 동대문구 답십리동 542-1 
2020-06-29,일반음식점,한식,진룽 마라탕,"서울특별시 동대문구 한빛로 11, 1층 (신설동)",서울특별시 동대문구 신설동 67-1 
1998-12-19,일반음식점,중국식,궁원,"서울특별시 동대문구 사가정로 229 (장안동,(사가정길 229))",서울특별시 동대문구 장안동 285-1 (사가정길 229) 
2015-01-27,일반음식점,중국식,태화루앤도화,"서울특별시 동대문구 장한로5길 53, 1층 (장안동)",서울특별시 동대문구 장안동 403-3 
2012-07-20,일반음식점,한식,진미곱창막창,"서울특별시 동대문구 이문로 42, 1층 (휘경동)",서울특별시 동대문구 휘경동 321-14 1층 
2006-03-14,일반음식점,분식,성천막국수,"서울특별시 동대문구 답십리로48나길 2, 1층 (답십리동)",서울특별시 동대문구 답십리동 33-28 
2011-11-09,일반음식점,탕류(보신용),마포원보쌈,서울특별시 동대문구 하정로3길 14 (신설동),서울특별시 동대문구 신설동 98-12 
2019-09-02,일반음식점,호프/통닭,식스센스다이닝,"서울특별시 동대문구 왕산로2길 9 (신설동,(신설길 5))",서울특별시 동대문구 신설동 98-17 (신설길 5) 
1987-11-16,일반음식점,한식,길식당,"서울특별시 동대문구 천호대로 52 (용두동,(하정로54))",서울특별시 동대문구 용두동 252-159 (하정로54) 
2017-02-07,일반음식점,한식,우리식당,서울특별시 동대문구 고산자로28가길 21 (용두동),서울특별시 동대문구 용두동 39-628 
2008-07-23,일반음식점,한식,세겹살,"서울특별시 동대문구 천호대로 281 (답십리동,(천호대로 117))",서울특별시 동대문구 답십리동 495-1 (천호대로 117) 
2015-08-27,일반음식점,호프/통닭,칠칠켄터키,서울특별시 동대문구 장한로2길 19 (장안동),서울특별시 동대문구 장안동 463-8 
2002-12-04,일반음식점,일식,목포집,"서울특별시 동대문구 망우로21길 30, 1층 (휘경동, 망우로21길32)",서울특별시 동대문구 휘경동 259 
2020-03-25,일반음식점,한식,제일식당,"서울특별시 동대문구 왕산로 112-5, 1층 (용두동)",서울특별시 동대문구 용두동 709-20 
1999-03-25,일반음식점,중국식,동해루,"서울특별시 동대문구 전농로 235 (전농동,(전농로235-1))",서울특별시 동대문구 전농동 103-286 (전농로235-1) 
2019-05-13,일반음식점,중국식,북경,"서울특별시 동대문구 장한로28길 44, 2층 (장안동)",서울특별시 동대문구 장안동 331-12 
2014-08-19,일반음식점,중국식,"북경,영빈관","서울특별시 동대문구 장한로2길 24, 2층 (장안동)",서울특별시 동대문구 장안동 464-6 2층 
2003-10-07,일반음식점,한식,국가대표바지락손칼국수,"서울특별시 동대문구 천호대로85길 40, 2층 (장안동)",서울특별시 동대문구 장안동 448-1 
2017-04-19,일반음식점,경양식,청년다방서울시립대점,"서울특별시 동대문구 전농로 230, 1층 (전농동)",서울특별시 동대문구 전농동 103-320 
2006-04-04,일반음식점,분식,김밥천국,"서울특별시 동대문구 망우로 83 (휘경동,(망우로 193))",서울특별시 동대문구 휘경동 270-1 (망우로 193) 
2019-07-01,일반음식점,한식,효탄新참치3호점,서울특별시 동대문구 천호대로 7-10 (신설동),서울특별시 동대문구 신설동 102-32 
2011-11-29,일반음식점,한식,진미식당,서울특별시 동대문구 제기로2길 8 (제기동),서울특별시 동대문구 제기동 67-106 
1999-09-14,일반음식점,통닭(치킨),바니양념통닭,"서울특별시 동대문구 망우로 14 (휘경동,(망우로 124))",서울특별시 동대문구 휘경동 312-261 (망우로 124) 
2007-10-02,일반음식점,한식,광주회관,서울특별시 동대문구 이문로 118 (이문동),서울특별시 동대문구 이문동 288-4 
2006-06-22,일반음식점,한식,산촌버섯마을,"서울특별시 동대문구 왕산로2길 22 (신설동,(신설길12))",서울특별시 동대문구 신설동 102-36 (신설길12) 
1991-05-27,일반음식점,중국식,중국관,"서울특별시 동대문구 왕산로2길 22 (신설동,(신설길 12))",서울특별시 동대문구 신설동 102-36 (신설길 12) 
2019-06-18,일반음식점,한식,아름다운설렁탕,"서울특별시 동대문구 한빛로 3 (신설동,(한빛길5))",서울특별시 동대문구 신설동 80-4 (한빛길5) 
2019-03-06,일반음식점,한식,보성장,서울특별시 동대문구 서울시립대로 122 (전농동),서울특별시 동대문구 전농동 129-42 
2006-05-16,일반음식점,한식,목포홍탁,"서울특별시 동대문구 천호대로 313, 태영빌딩 (답십리동)",서울특별시 동대문구 답십리동 492-1 태영빌딩 
2003-05-07,일반음식점,한식,장수돌솥밥,서울특별시 동대문구 한천로 67-1 (답십리동),서울특별시 동대문구 답십리동 4-259 
2009-02-10,일반음식점,한식,오가네주먹고기,"서울특별시 동대문구 사가정로 231 (장안동,(사가정길231))",서울특별시 동대문구 장안동 285-3 (사가정길231) 
2020-06-10,일반음식점,정종/대포집/소주방,(주)이노미트 장한평역 지점 양대창,"서울특별시 동대문구 장한로2길 15, 1층 (장안동)",서울특별시 동대문구 장안동 463-4 
2020-02-20,일반음식점,분식,명인만두,서울특별시 동대문구 천호대로 427-4 (장안동),서울특별시 동대문구 장안동 465-1 
2010-09-28,일반음식점,한식,목포식당,"서울특별시 동대문구 왕산로41길 19 (청량리동,(1층))",서울특별시 동대문구 청량리동 284-4 (1층) 
2014-07-31,일반음식점,분식,노랑통닭,"서울특별시 동대문구 경희대로1길 13, 1층 (회기동)",서울특별시 동대문구 회기동 60-51 1층 
2019-03-29,일반음식점,횟집,진성각,"서울특별시 동대문구 신이문로 4, 1층 (이문동)",서울특별시 동대문구 이문동 255-251 1층 
1998-02-05,일반음식점,중국식,만리향,서울특별시 동대문구 장한로28가길 122-13 (장안동),서울특별시 동대문구 장안동 314-13 
2019-02-12,일반음식점,중국식,개화,"서울특별시 동대문구 답십리로65길 69, 1층 (장안동)",서울특별시 동대문구 장안동 123-1 1층 
2007-12-24,일반음식점,경양식,노바 이탈리아노,,서울특별시 동대문구 회기동 33-1 (경희대길 36) 
2008-02-15,일반음식점,호프/통닭,비스마르크,서울특별시 동대문구 휘경로 9 (이문동),서울특별시 동대문구 이문동 289-1 
1989-04-24,일반음식점,한식,메이퀸,서울특별시 동대문구 휘경로 9 (이문동),서울특별시 동대문구 이문동 289-1 
2016-09-19,일반음식점,한식,또봉이통닭신설동점,"서울특별시 동대문구 왕산로2길 18, 1층 (신설동)",서울특별시 동대문구 신설동 102-35 1층 
2018-05-23,일반음식점,식육(숯불구이),코다리 밥도둑 장안점,"서울특별시 동대문구 답십리로 275, 1층 (장안동)",서울특별시 동대문구 장안동 307-5 1층 
2004-08-27,일반음식점,통닭(치킨),샘터컨츄리치킨,"서울특별시 동대문구 약령시로15길 4 (제기동,(보린길 4))",서울특별시 동대문구 제기동 348-0 (보린길 4) 
1996-12-07,일반음식점,통닭(치킨),아메리카치킨,"서울특별시 동대문구 천호대로 221 (답십리동,(천호대로55))",서울특별시 동대문구 답십리동 465-55 (천호대로55) 
1998-12-19,일반음식점,분식,두리,,서울특별시 동대문구 장안동 199-9 
1985-12-04,일반음식점,한식,장충족발,"서울특별시 동대문구 홍릉로 20 (청량리동,(홍릉길 20))",서울특별시 동대문구 청량리동 311-0 (홍릉길 20) 
2003-07-04,일반음식점,한식,그린치킨닥터,서울특별시 동대문구 이문로28길 8 (이문동),서울특별시 동대문구 이문동 287-44 
2004-04-19,일반음식점,호프/통닭,늘봄,,서울특별시 동대문구 전농동 655-12 (답십리길87) 
2019-11-21,일반음식점,한식,감성만족,"서울특별시 동대문구 왕산로2길 32, 1층 (신설동)",서울특별시 동대문구 신설동 102-37 
2015-07-23,일반음식점,한식,팔도빈대떡앤보쌈,"서울특별시 동대문구 왕산로2길 23 (신설동,(신설길13))",서울특별시 동대문구 신설동 97-34 (신설길13) 
1986-11-03,일반음식점,호프/통닭,유성호프,"서울특별시 동대문구 왕산로2길 19, 1층 (신설동)",서울특별시 동대문구 신설동 98-15 1층 
2017-12-26,일반음식점,탕류(보신용),다왕얼큰이 손칼국수,"서울특별시 동대문구 무학로 136, 1층 (용두동)",서울특별시 동대문구 용두동 119-61 
2018-03-13,일반음식점,한식,용화장,"서울특별시 동대문구 천호대로17길 73, 지상1층 (용두동)",서울특별시 동대문구 용두동 112-42 
2006-04-10,일반음식점,한식,용두똥돼지,"서울특별시 동대문구 무학로 114, 1층 (용두동)",서울특별시 동대문구 용두동 118-86 
2008-12-24,일반음식점,한식,용두옥,"서울특별시 동대문구 무학로20길 34 (용두동,(풍인길9))",서울특별시 동대문구 용두동 129-486 (풍인길9) 
2009-11-12,일반음식점,한식,오돌이,"서울특별시 동대문구 무학로 113 (용두동,(무학로90))",서울특별시 동대문구 용두동 235-23 (무학로90) 
2009-06-23,일반음식점,한식,태백숯불갈비,"서울특별시 동대문구 천호대로 126 (용두동,(하정로 130))",서울특별시 동대문구 용두동 36-7 (하정로 130) 
2012-05-29,일반음식점,한식,미강,서울특별시 동대문구 천호대로27길 62 (용두동),서울특별시 동대문구 용두동 45-7 
