식당명,주소,메뉴
일미기사식당,서울 동대문구 회기로 105,[]
홍콩반점0410 경희대점,서울 동대문구 경희대로 12-1,"['짬뽕', '짜장면', '탕수육(소)', '짬뽕밥', '짜장밥', '군만두', '쟁반짜장']"
노랑통닭 경희대점,서울 동대문구 경희대로1길 13 1층,"['알싸한 마늘치킨 레귤러', '알싸한 마늘치킨 사이즈업', '엄청 큰 후라이드 치킨', '엄청 큰 깐풍치킨', '순살 3종 세트', '엄청 큰 양념치킨', '매콤 후라이드', '엄청 큰 반반치킨 (후라이드 + 양념)', '엄청 큰 반반치킨 (후라이드 + 깐풍)', '엄청 큰 반반치킨 (양념 + 깐풍)', '고바치', '간바치', '웰빙 파닭 (후라이드 + 양념)', '웰빙 파닭 (후라이드 + 깐풍)', '웰빙 파닭 (양념 + 깐풍)']"
노바 이탈리아노,서울 동대문구 회기로21길 44,"['안심,연어,닭고기 스테이크', '샐러드', '파스타', '피자', '하우스와인']"
송가네오소리순대국,서울 동대문구 회기로13길 10,"['술국', '곱창전골(소)', '순대국', '오소리반반', '순대철판곱창']"
설,서울 동대문구 경희대로 9,"['회덮밥', '오뎅백반', '고기덮밥', '우동', '유부초밥']"
원조할머니보쌈 경희점,서울 동대문구 이문로 31,[]
레프트커피 경희대점,서울 동대문구 회기로 164 1층 레프트커피,"['아보카도 브런치', '브라운치즈 크로플', '독일식 팬케이크 플레이트', '크래미 샌드위치', '얼그레이라떼', '딥카라멜라떼', '아메리카노']"
미식성 경희대점,서울 동대문구 경희대로1가길 32 2층,[]
삼성루,서울 동대문구 경희대로1가길 27,"['짜장면', '탕수육+짜장1', '탕수육+짬뽕1', '탕수육+볶음밥1', '탕수육+쟁반짜장2인+만두or콜라', '탕볶밥', '볶짜면', '탕짬면', '사천탕수육', '닭탕수육', '찹쌀탕수육 大']"
스카이라이브,서울 동대문구 회기로 129-1,[]
등촌샤브칼국수 경희대점,서울 동대문구 회기로21길 38,"['버섯매운탕칼국수', '바지락칼국수', '시골콩국수', '소고기 샤브샤브', '냉면']"
아비꼬 경희대점,서울 동대문구 경희대로3길 5,"['기본카레라이스', '가지카레라이스', '야채카레라이스', '버섯카레라이스', '허브치킨카레라이스', '포크카레라이스', '함바그카레라이스', '비프카레라이스', '알새우카레라이스', '해산물카레라이스', '기본카레우동', '버섯카레우동', '허브치킨카레우동', '비프카레우동', '알새우카레우동']"
마리채경희대점,서울 동대문구 회기로13길 6,[]
회기왕족발보쌈,서울 동대문구 회기로 158,"['족발 특대', '보쌈 특대', '족발 대', '보쌈 대', '족발 중', '보쌈 중', '족발 소', '보쌈 소', '쟁반막국수 대', '쟁반막국수 중', '춘천막국수']"
현대반점,서울 동대문구 이문로1길 21 신현대아파트,"['탕수육+차돌박이짬뽕', '탕수육+속풀이짬뽕', '탕수육+불쟁반1', '사천탕수육+깐풍새우or깐풍육+짜장or간짜장or짬뽕', '콩짜장', '콩나물짬뽕', '홍합짬뽕', '홍합낙지짬뽕', '굴짬뽕', '차돌박이짬뽕', '물(비빔)냉면, 냉콩국수', '탕수육+물냉면2']"
투다리 경희대점,서울 동대문구 회기로 172,['닭산적']
